Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int>(int&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int>(int&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<2ul, int, false>::_M_head(std::_Head_base<2ul, int, false>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Head_base<2ul, int, false>::_Head_base<int>(int&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_M_head(std::_Tuple_impl<0ul, int, int, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_M_tail(std::_Tuple_impl<0ul, int, int, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<0ul, int, int, int>::_Tuple_impl(std::_Tuple_impl<0ul, int, int, int>&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_M_head(std::_Tuple_impl<1ul, int, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_M_tail(std::_Tuple_impl<1ul, int, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<1ul, int, int>::_Tuple_impl(std::_Tuple_impl<1ul, int, int>&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<2ul, int>::_M_head(std::_Tuple_impl<2ul, int>&)
  0.00      0.00     0.00     8191     0.00     0.00  std::_Tuple_impl<2ul, int>::_Tuple_impl(std::_Tuple_impl<2ul, int>&&)
  0.00      0.00     0.00     8191     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::destroy<std::tuple<int, int, int> >(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*)
  0.00      0.00     0.00     8191     0.00     0.00  void std::allocator_traits<std::allocator<std::tuple<int, int, int> > >::construct<std::tuple<int, int, int>, std::tuple<int, int, int> >(std::allocator<std::tuple<int, int, int> >&, std::tuple<int, int, int>*, std::tuple<int, int, int>&&)
  0.00      0.00     0.00     8191     0.00     0.00  std::tuple<int, int, int>::tuple(std::tuple<int, int, int>&&)
  0.00      0.00     0.00     8191     0.00     0.00  void std::__relocate_object_a<std::tuple<int, int, int>, std::tuple<int, int, int>, std::allocator<std::tuple<int, int, int> > >(std::tuple<int, int, int>*, std::tuple<int, int, int>*, std::allocator<std::tuple<int, int, int> >&)
  0.00      0.00     0.00     8191     0.00     0.00  std::remove_reference<std::_Tuple_impl<1ul, int, int>&>::type&& std::move<std::_Tuple_impl<1ul, int, int>&>(std::_Tuple_impl<1ul, int, int>&)
